放送局名（認識用）,放送局名（設定用）,略称,サービスID
ＮＨＫＢＳ１,,BS1,101
ＮＨＫＢＳプレミアム,,BSP,103
ＢＳ日テレ,,BS4,141
ＢＳ朝日,,BSA,151
ＢＳ－ＴＢＳ,,BS-TBS,161
ＢＳテレ東,,BS7,171
ＢＳフジ,,BS-FUJI,181
ＷＯＷＯＷプライム,,WOWOWP,191
ＷＯＷＯＷライブ,,WOWOWL,192
ＷＯＷＯＷシネマ,,WOWOWC,193
スターチャンネル１,,STAR1,200
スターチャンネル２,,STAR2,201
スターチャンネル３,,STAR3,202
ＢＳ１１イレブン,,BS11,211
ＢＳ１２トゥエルビ,,WHC,222
ＢＳアニマックス,,ANIMAX,236
ファミリー劇場,,FAMILYHD,293
ＴＢＳチャンネル１,,CSTBS1,296
ＴＢＳチャンネル２,,CSTBS2,297
テレ朝チャンネル１,,CSTVASA1,298
テレ朝チャンネル２,,CSTVASA2,299
日テレプラス,,CSNTV,300
フジテレビＯＮＥ,,CSFUJI1,307
フジテレビＴＷＯ,,CSFUJI2,308
フジテレビＮＥＸＴ,,CSFUJIN,309
キッズステーション,,KIDS,330
ＡＴ－Ｘ,,AT-X,333
ＮＨＫ総合・東京,,NHK-G,1024
ＮＨＫＥテレ東京,,NHK-E,1032
日テレ,,NTV,1040
ＴＢＳ,,TBS,1048
フジテレビ,,CX,1056
テレビ朝日,,EX,1064
テレビ東京,,TX,1072
ＮＨＫＥテレ大阪,,NHK-E,2056
ＭＢＳ毎日放送,,MBS,2064
ＡＢＣテレビ,,ABC,2072
関西テレビ,,KTV,2080
読売テレビ,,YTV,2088
ＮＨＫＥテレ名古屋,,NHK-E,3080
東海テレビ,,THK,3088
ＣＢＣ,,CBC,3096
メ～テレ,,NBN,3104
中京テレビ,,CTV,3112
ＨＢＣ北海道放送,,HBC,4112
ＳＴＶ札幌テレビ,,STV,4120
ＨＴＢ北海道テレビ,,HTB,4128
ＵＨＢ,,UHB,4136
ＴＶＨ,,TVH,4144
ＲＮＣ西日本テレビ,,RNC,5136
ＫＳＢ瀬戸内海放送,,KSB,5144
ＲＳＫテレビ,,RSK,5152
ＴＳＣテレビせとうち,,TSC,5160
ＯＨＫテレビ,,OHK,5168
山陰中央テレビ,,TSK,6160
ＢＳＳテレビ,,BSS,6168
日本海テレビ,,NKT,6176
ＮＨＫ総合・札幌,,NHK-G,10240
ＮＨＫＥテレ札幌,,NHK-E,10248
ＨＢＣ札幌,,HBC,10256
ＳＴＶ札幌,,STV,10264
ＨＴＢ札幌,,HTB,10272
ＵＨＢ札幌,,UHB,10280
ＴＶＨ札幌,,TVH,10288
ＮＨＫ総合・函館,,NHK-G,11264
ＮＨＫＥテレ函館,,NHK-E,11272
ＨＢＣ函館,,HBC,11280
ＳＴＶ函館,,STV,11288
ＨＴＢ函館,,HTB,11296
ＵＨＢ函館,,UHB,11304
ＴＶＨ函館,,TVH,11312
ＮＨＫ総合・旭川,,NHK-G,12288
ＮＨＫＥテレ旭川,,NHK-E,12296
ＨＢＣ旭川,,HBC,12304
ＳＴＶ旭川,,STV,12312
ＨＴＢ旭川,,HTB,12320
ＵＨＢ旭川,,UHB,12328
ＴＶＨ旭川,,TVH,12336
ＮＨＫ総合・帯広,,NHK-G,13312
ＮＨＫＥテレ帯広,,NHK-E,13320
ＨＢＣ帯広,,HBC,13328
ＳＴＶ帯広,,STV,13336
ＨＴＢ帯広,,HTB,13344
ＵＨＢ帯広,,UHB,13352
